gsno,lid,lat,lon,elev
12193400,SHAW1,48.53333,121.75,180.0
12020800,SCWW1,46.445,123.081111,350.0
12150400,SDVW1,47.74333,121.98667,90.0
12141300,TANW1,47.483333,121.65,780.0
12143900,BOXW1,47.448889,121.730556,650.0
12147600,IDXW1,47.706944,121.598889,1850.0
12115000,CRRW1,47.366667,121.616667,1560.0
12116400,CDVW1,47.41889,121.78028,995.0
12096500,ALDW1,47.1853,122.2283,76.0
12097500,GRNW1,47.15361,121.63611,1720.0
14097100,KAHO3,44.856667,121.148611,1400.0
12103380,LESW1,47.2,121.55,1480.0
12413875,SJII1,47.0506,115.3522,3710.0
14142800,BCTO3,45.519444,122.387778,195.0
13351000,HOPW1,46.76667,118.15,1041.0
13068495,BBYI1,43.170833,112.387778,4469.0
13105000,SFLN2,41.944444,114.6875,5138.0
14236200,TILW1,46.6,122.466667,600.0
13081500,MINI1,42.670833,113.483333,4200.0
12147500,NFTW1,47.7125,121.7875,600.0
14087400,CROO3,44.4925,121.297222,1954.0
14076500,DECO3,44.498889,121.32,1980.0
12131500,SSSW1,47.710833,121.359722,1020.0
14137002,SBMO3,45.399722,122.136111,726.0
12143010,NFSW1,47.5219,121.7683,0.0
12116500,CDRW1,47.41722,121.79083,902.0
12148300,SFTW1,47.7,121.78333,670.0
12114500,CBCW1,47.35,121.55,1880.0
12359800,TNCM8,47.97917,113.56,3575.0
12388700,PERM8,47.3675,114.58417,2569.0
13132500,ARCI1,43.581944,113.270833,5240.0
12321500,BDCI1,48.997222,116.568056,1770.0
13341050,PEKI1,46.5,116.4,930.0
14138850,BMFO3,45.497222,122.013889,1080.0
12056500,SKOW1,47.516667,123.333333,762.0
12456500,CHIW1,47.8375,120.661111,2100.0
14192500,WLAO3,45.04722,123.50278,240.0
13337000,LOCI1,46.15056,115.58639,1453.0
14137000,SRMO3,45.391667,122.127778,730.0
12113347,MKEW1,47.38333,122.22361,35.0
12447383,MZMW1,48.573889,120.383889,2040.0
12039005,HMRW1,47.231667,123.972778,80.0
12362500,SFCM8,48.35667,114.03667,3040.0
12112600,BSKW1,47.3125,122.16417,120.0
13236500,DEDI1,44.293889,115.644722,5334.0
12121600,ISSW1,47.552222,122.046667,36.0
14197900,NEBO3,45.28444,122.96056,50.0
14038602,CNCO3,44.3836111111,118.949722222,4000.0
12452890,MRAW1,47.736944,120.3675,1260.0
12082500,NISW1,46.752778,122.0825,1450.0
12045500,ELWW1,48.05,123.58333,200.0
12155300,PILW1,47.935,122.071944,64.0
13077000,AMFI1,42.768333,112.878333,4212.0
14238000,MAYW1,46.516667,122.616667,227.0
12505000,PARW1,46.496773,120.44144,889.0
12037400,MNSW1,47.016667,123.65,40.0
13142500,BWMI1,43.248056,114.356667,4662.0
13214000,MADO3,43.78472,118.33056,3479.0
12427000,LEKW1,48.022222,117.271944,1870.0
14245000,KELW1,46.142778,122.915833,2.0
12119000,RNTW1,47.482778,122.202222,15.0
14245300,LOPW1,46.108333,122.956667,1.0
12372000,FPOM8,47.6803,114.2458,2693.0
13058000,RIRI1,43.583,111.74583,4950.0
13333000,TRYO3,45.946389,117.448333,1586.0
13073000,TOPI1,42.625,112.088889,4918.0
12093500,ORTW1,47.033333,122.206667,353.0
12166150,RDOW1,47.52055,120.85777,
12365700,SRLM8,48.2175,114.3122,2953.0
13139510,HALI1,43.517222,114.321667,5295.0
13057155,SIFI1,43.60556,112.05778,4730.0
13049500,CHEI1,44.0181,111.5666,5052.0
13258500,CAMI1,44.579722,116.638889,2660.0
13200000,MORI1,43.65,115.98333,3120.0
